Scientific Name,Common Name,CurrentDistribution,Family,Species Group,Federal Listing Status,Regions ofOccurrence,Vertebrate/Invertebrate/Plant
Moho bishopi,Bishop's `o`o,HI;,Melephagidae,Birds,Not Listed,1,V
Moho braccatus,Kauai `o`o (honeyeater),HI; U.S.A. (HI),Meliphagidae,Birds,Endangered,1,V
Psittirostra psittacea,`O`u (honeycreeper),HI; U.S.A. (HI),Drepanidinae,Birds,Endangered,1,V
Clermontia drepanomorpha,`Oha wai,HI; U.S.A. (HI),Campanulaceae,Flowering Plants,Endangered,1,P
Clermontia lindseyana,`Oha wai,HI; U.S.A. (HI),Campanulaceae,Flowering Plants,Endangered,1,P
Clermontia oblongifolia ssp. brevipes,`Oha wai,HI; U.S.A. (HI),Campanulaceae,Flowering Plants,Endangered,1,P
Clermontia oblongifolia ssp. mauiensis,`Oha wai,HI; U.S.A. (HI),Campanulaceae,Flowering Plants,Endangered,1,P
Clermontia peleana,`Oha wai,HI; U.S.A. (HI),Campanulaceae,Flowering Plants,Endangered,1,P
Clermontia pyrularia,`Oha wai,HI; U.S.A. (HI),Campanulaceae,Flowering Plants,Endangered,1,P
Clermontia samuelii,`Oha wai,HI; U.S.A. (HI),Campanulaceae,Flowering Plants,Endangered,1,P
Joinvillea ascendens ascendens,`Ohe,HI;,Joinvilleaceae,Flowering Plants,Endangered,1,P
Reynoldsia sandwicensis,`Ohe,HI;,Araliaceae,Flowering Plants,Not Listed,1,P
Tetraplasandra hawaiiensis microcarpa,`Ohe,HI;,Araliaceae,Flowering Plants,Not Listed,1,P
Tetraplasandra kaalae multiplex,`Ohe,HI;,Araliaceae,Flowering Plants,Not Listed,1,P
Polyscias gymnocarpa,`Ohe`ohe,HI; U.S.A. (HI),Araliaceae,Flowering Plants,Endangered,1,P
Tetraplasandra kavaiensis grandis,`Ohe`ohe,HI;,Araliaceae,Flowering Plants,Not Listed,1,P
Tetraplasandra kavaiensis koloana,`Ohe`ohe,HI;,Araliaceae,Flowering Plants,Not Listed,1,P
Tetraplasandra kavaiensis occidua,`Ohe`ohe,HI;,Araliaceae,Flowering Plants,Not Listed,1,P
Tetraplasandra kavaiensis dipyrena,`Ohe`ohe ),HI;,Araliaceae,Flowering Plants,Not Listed,1,P
Tetraplasandra kavaiensis intercedens,`Ohe`ohe e,HI;,Araliaceae,Flowering Plants,Not Listed,1,P
Tetraplasandra kavaiensis nahikuensis,`Ohe`ohe s,HI;,Araliaceae,Flowering Plants,Not Listed,1,P
Zanthoxylum dipetalum var. tomentosum,A`e,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Zanthoxylum hawaiiense,A`e,HI; Entire,Rutaceae,Flowering Plants,Endangered,1,P
Zanthoxylum oahuense,A`e,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Zanthoxylum semiarticulatum,A`e,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Zanthoxylum skottsbergii,A`e,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Haliotis cracherodii,Black Abalone,"North America (West coast from Crescent City, CA, USA, to Cape San Lucas, Baja California, Mexico",Haliotidae,Snails,Endangered,N/A,I
Haliotis sorenseni,White Abalone,"CA; North America (West coast from Point Conception, CA, U.S.A., to Punta Abreojos, Baja California, Mexico)",Haliotidae,Snails,Endangered,8,I
Senegalia berlandieri,Emory acacia,TX;,Fabaceae,Flowering Plants,Not Listed,2,P
Epioblasma haysiana,Acornshell,"AL, TN, VA; Believed to be extinct",Unionidae,Clams,Not Listed,"4, 5",I
Epioblasma othcaloogensis,Southern acornshell,"AL, TN; Possibly extinct, no populations have been confirmed in recent years; U.S.A. (TN, GA, AL)",Unionidae,Clams,Endangered,4,I
Addax nasomaculatus,Addax,Entire; North Africa,Bovidae,Mammals,Endangered,N/A,V
Malaxis brachypoda,Adder's-mouth,CA;,Orchidaceae,Flowering Plants,Not Listed,8,P
Malaxis bayardii,Appalachian Adder's-mouth,NC;,Orchidaceae,Flowering Plants,Not Listed,4,P
Ophioglossum concinnum,[Unnamed] adder's-tongue,HI;,Ophioglossaceae,Ferns and Allies,Not Listed,1,P
Ophioglossum lusitanicum,California adder's-tongue,CA;,Ophioglossaceae,Ferns and Allies,Not Listed,8,P
Leptoptilos dubius,Greater adjutant,N/A,Ciconiidae,Birds,Endangered,N/A,V
Limenitus weidemeyerii nevadae,Nevada admiral,NV;,Nymphalidae,Insects,Not Listed,8,I
Fritillaria pluriflora,[Unnamed] adobe-lily,CA;,Liliaceae,Flowering Plants,Not Listed,8,P
Fritillaria striata,Greenhorn adobe-lily,CA;,Liliaceae,Flowering Plants,Not Listed,8,P
Adolphia californica,California adolphia,N/A,Rhamnaceae,Flowering Plants,Not Listed,N/A,P
agapema galbina,Tamaulipan Agapema,TX;,saturniidae,Insects,Not Listed,2,I
Agastache parvifolia,Small-leaved agastache,CA;,Lamiaceae,Flowering Plants,Not Listed,8,P
Agave arizonica,Arizona agave,AZ;,Agavaceae,Flowering Plants,Original Data in Error - Erroneous Data,2,P
Agave glomeruliflora,Chisos agave,TX;,Agavaceae,Flowering Plants,Not Listed,2,P
Agave utahensis nevadensis,Clark Mountains agave,"CA, NV;",Agavaceae,Flowering Plants,Not Listed,8,P
Agave utahensis eborispina,Ivory-spined agave,"CA, NV;",Agavaceae,Flowering Plants,Not Listed,8,P
Agave parviflora parviflora,Santa Cruz striped agave,AZ; Mexico (Sonora),Agavaceae,Flowering Plants,Not Listed,2,P
Agave shawii,Shaw's agave,CA;,Agavaceae,Flowering Plants,Not Listed,8,P
Agave sp.,Sp. nov. ined. (Tonto Basin) agave,AZ;,Agavaceae,Flowering Plants,Not Listed,2,P
Loxops caeruleirostris,Akekee,HI; U.S.A. (HI),Fringillidae,Birds,Endangered,1,V
Loxops coccineus,Hawaii akepa,HI; U.S.A. (HI),Drepanidinae,Birds,Endangered,1,V
Loxops ochraceus,Maui akepa,HI; U.S.A. (HI),Drepanidinae,Birds,Endangered,1,V
Akialoa stejnegeri,Kauai akialoa (honeycreeper),HI; U.S.A. (HI),Drepanidinae,Birds,Endangered,1,V
Hemignathus wilsoni,akiapolaau,HI; U.S.A. (HI),Drepanidinae,Birds,Endangered,1,V
Oreomystis bairdi,Akikiki,HI; U.S.A. (HI),Fringillidae,Birds,Endangered,1,V
Salmo platycephalus,Ala balik (trout),Turkey,Salmonidae,Fishes,Endangered,N/A,V
Pouteria hotteana,Ala`a,"PR, VI;",Sapotaceae,Flowering Plants,Not Listed,4,P
Pouteria sandwicensis,Ala`a,HI;,Sapotaceae,Flowering Plants,Not Listed,1,P
Pouteria sandwicensis,Ala`a,HI;,Sapotaceae,Flowering Plants,Not Listed,1,P
Melicope adscendens,Alani,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Melicope balloui,Alani,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Melicope christophersenii,Alani,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Melicope cruciata,Alani,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Melicope degeneri,Alani,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Melicope haleakalae,Alani,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Melicope haupuensis,Alani,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Melicope hawaiensis,Alani,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Melicope hiiakae,Alani,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Melicope kavaiensis,Alani,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Melicope knudsenii,Alani,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Melicope lydgatei,Alani,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Melicope macropus,Alani,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Melicope makahae,Alani,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Melicope mucronulata,Alani,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Melicope munroi,Alani,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Melicope nealae,Alani,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Melicope obovata,Alani,HI; Believed to be extinct,Rutaceae,Flowering Plants,Not Listed,1,P
Melicope orbicularis,Alani,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Melicope ovalis,Alani,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Melicope ovata,Alani,HI;,Rutaceae,Flowering Plants,Not Listed,1,P
Melicope pallida,Alani,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Melicope paniculata,Alani,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
Melicope puberula,Alani,HI; U.S.A. (HI),Rutaceae,Flowering Plants,Endangered,1,P
