Scientific Name,Common Name,CurrentDistribution,Family,Species Group,Federal Listing Status,Regions ofOccurrence,Vertebrate/Invertebrate/Plant
Gila elegans,Bonytail chub,"AZ, CA, CO, NV, UT; U.S.A. (WY, UT, NV, CO, CA, AZ)",Cyprinidae,Fishes,Endangered,"2, 6, 8",V
Gila boraxobius,Borax Lake chub,OR; U.S.A. (OR),Cyprinidae,Fishes,Endangered,1,V
Gila bicolor ssp.,Catlow tui chub,OR;,Cyprindidae,Fishes,Not Listed,1,V
Gila nigrescens,Chihuahua chub,"NM; Mexico-Chihuahua; U.S.A. (NM), Mexico-Chihuahua",Cyprinidae,Fishes,Threatened,2,V
Gila bicolor vaccaceps,Cow Head tui chub,CA;,Cyprinidae,Fishes,Not Listed,8,V
Gila bicolor ssp.,Dixie Valley tui chub,NV;,Cyprindidae,Fishes,Not Listed,8,V
Gila bicolor euchila,Fish Creek Springs tui chub,NV;,Cyprinidae,Fishes,Not Listed,8,V
Gila bicolor ssp.,Fish Lake Valley tui chub,NV;,Cyprindidae,Fishes,Not Listed,8,V
Hemitremia flammea,Flame chub,"AL, GA, TN;",Cyprinidae,Fishes,Not Listed,4,V
Platygobio gracilis,Flathead chub,"AL, AR, CO, IA, IL, KS, KY, LA, MN, MO, MT, ND, NE, NM, OK, SD, TN, WY;",Cyprinidae,Fishes,Not Listed,"2, 3, 4, 6",V
Gila intermedia,Gila chub,"AZ, NM; U.S.A. (NM, AZ), Mexico",Cyprinidae,Fishes,Endangered,2,V
Gila nigra,Headwater chub,"AZ, NM;",Cyprinidae,Fishes,Proposed Threatened,2,V
Gila bicolor ssp.,High Rock Springs tui chub,CA;,Cyprindidae,Fishes,Not Listed,8,V
Gila bicolor ssp.,Hot Creek Valley tui chub,NV;,Cyprindidae,Fishes,Not Listed,8,V
Gila cypha,Humpback chub,"AZ, CO, UT; U.S.A. (WY, UT, CO, AZ)",Cyprinidae,Fishes,Endangered,"2, 6",V
Gila bicolor ssp.,Hutton tui chub,OR; U.S.A. (OR),Cyprinidae,Fishes,Threatened,1,V
Gila bicolor isolata,Independence Valley tui chub,NV;,Cyprinidae,Fishes,Not Listed,8,V
Iotichthys phlegethontis,Least chub,UT;,Cyprinidae,Fishes,Not Listed,6,V
Snyderichthys copei,Leatherside chub,"ID, UT, WY;",Cyprinidae,Fishes,Not Listed,"1, 6",V
Hybopsis lineapunctata,Lined chub,"AL, GA, TN;",Cyprinidae,Fishes,Not Listed,4,V
Gila bicolor newarkensis,Newark Valley tui chub,NV;,Cyprinidae,Fishes,Not Listed,8,V
Lepidomeda copei,Northern leatherside Chub,"ID, UT;",Cyprinidae,Fishes,Not Listed,"1, 6",V
Oregonichthys crameri,Oregon chub,OR; U.S.A. (OR),Cyprinidae,Fishes,Recovery,1,V
Gila bicolor ssp. snyderi,Owens Tui Chub,CA; U.S.A. (CA),Cyprinidae,Fishes,Endangered,8,V
Erimystax harryi,Ozark chub,"AR, MO;",Cyprinidae,Fishes,Under Review in the Candidate or Petition Process,"3, 4",V
Gila robusta jordani,Pahranagat roundtail chub,NV; U.S.A. (NV),Cyprinidae,Fishes,Endangered,8,V
Macrhybopsis tetranema,Peppered chub,"AR, CO, KS, NM, OK, TX;",Cyprinidae,Fishes,Under Review in the Candidate or Petition Process,"2, 4, 6",V
Gila bicolor ssp.,Pleasant Valley tui chub,NV;,Cyprindidae,Fishes,Not Listed,8,V
Macrhybopsis australis,prairie chub,"OK, TX; U.S.A. (OK, TX)",Cyprinidae,Fishes,Under Review in the Candidate or Petition Process,2,V
Gila bicolor ssp.,Railroad Valley tui chub,NV;,Cyprindidae,Fishes,Not Listed,8,V
Gila robusta,Roundtail chub,"AZ, NM;",Cyprinidae,Fishes,Proposed Threatened,2,V
Semotilus lumbee,Sandhills chub,"NC, SC;",Cyprinidae,Fishes,Not Listed,4,V
Gila bicolor eurysoma,Sheldon tui chub,"NV, OR;",Cyprinidae,Fishes,Not Listed,"1, 8",V
Macrhybopsis meeki,Sicklefin chub,"AR, IA, IL, KS, KY, LA, MO, MS, MT, ND, NE, SD, TN;",Cyprinidae,Fishes,Not Listed,"3, 4, 6",V
Erimystax cahni,Slender chub,"TN, VA; U.S.A. (VA, TN)",Cyprinidae,Fishes,Threatened,"4, 5",V
Erimystax cahni,Slender chub,"U.S.A. (VA, TN)",Cyprinidae,Fishes,"Experimental Population, Non-Essential",N/A,V
Gila ditaenia,Sonora chub,"AZ; U.S.A. (AZ), Mexico",Cyprinidae,Fishes,Threatened,2,V
Erimonax monachus,Spotfin Chub,"AL, NC, TN, VA; U.S.A. (VA, TN, NC, GA, AL)",Cyprinidae,Fishes,Threatened,"4, 5",V
Erimonax monachus,Spotfin Chub,"TN; U.S.A. (VA, TN, NC, GA, AL)",Cyprinidae,Fishes,"Experimental Population, Non-Essential",4,V
Erimonax monachus,Spotfin Chub,"U.S.A. (VA, TN, NC, GA, AL)",Cyprinidae,Fishes,"Experimental Population, Non-Essential",N/A,V
Erimonax monachus,Spotfin Chub,"U.S.A. (VA, TN, NC, GA, AL)",Cyprinidae,Fishes,"Experimental Population, Non-Essential",N/A,V
Macrhybopsis gelida,Sturgeon chub,"AR, IA, IL, KS, KY, LA, MO, MS, MT, ND, NE, SD, TN, WY;",Cyprinidae,Fishes,Not Listed,"3, 4, 6",V
Gila bicolor ssp.,Summer Basin tui chub,OR;,Cyprindidae,Fishes,Not Listed,1,V
Gila crassicauda,Thicktail chub,CA; Believed to be extinct,Cyprinidae,Fishes,Not Listed,8,V
Oregonichthys kalawatseti,Umpqua Oregon Chub,OR;,Cyprinidae,Fishes,Not Listed,1,V
Gila seminuda (=robusta),Virgin River Chub,"AZ, NV, UT; U.S.A. (UT, NV, AZ)",Cyprinidae,Fishes,Endangered,"2, 6, 8",V
Gila bicolor oregonensis,XL Spring tui chub,OR;,Cyprinidae,Fishes,Not Listed,1,V
Gila purpurea,Yaqui chub,"AZ; U.S.A. (AZ), Mexico",Cyprinidae,Fishes,Endangered,2,V
Sauromalus ater,Chuckwalla,"AZ, CA, NV, UT;",Iguanidae,Reptiles,Not Listed,"2, 6, 8",V
Sauromalus varius,San Esteban Island chuckwalla,Mexico,Iguanidae,Reptiles,Endangered,N/A,V
Harrisia portoricensis,Higo Chumbo,"PR; Endemic to Puerto Rico.  Currently known from Mona Island, Monito Island, Desecheo NWR and Caja de Muertos; U.S.A. (PR)",Cactaceae,Flowering Plants,Threatened,4,P
Pleodendron macranthum,Chupacallos,PR; Endemic to Puerto Rico.  Known from the Rio Abajo Commonwealth Forest and El Yunque National Forest; U.S.A. (PR),Canellaceae,Flowering Plants,Endangered,4,P
Acanthorutilus handlirschi,Cicek (minnow),Turkey,Cyprinidae,Fishes,Endangered,N/A,V
Cinclodes aricomae,Royal cinclodes,"Bolivia, Peru",Furnariidae,Birds,Endangered,N/A,V
Potentilla macounii,Macoun's Cinquefoil,N/A,Rosaceae,Flowering Plants,Not Listed,N/A,P
Potentilla multijuga,Ballona cinquefoil,CA; Possibly extinct,Rosaceae,Flowering Plants,Not Listed,8,P
Potentilla rimicola,cliff cinquefoil,N/A,Rosaceae,Flowering Plants,Not Listed,N/A,P
Potentilla effusa rupincola,Front Range cinquefoil,CO;,Rosaceae,Flowering Plants,Not Listed,6,P
Ivesia patellifera,Kingston Mountains cinquefoil,CA;,Roasceae,Flowering Plants,Not Listed,8,P
Potentilla robbinsiana,Robbins' cinquefoil,NH;,Rosaceae,Flowering Plants,Recovery,5,P
Potentilla basaltica,Soldier Meadows Cinquefoil,"CA, NV;",Rosaceae,Flowering Plants,Not Listed,8,P
Horkelia truncata,Ramona cinquuefoil,CA;,Rosaceae,Flowering Plants,Not Listed,8,P
Cirsium sp.,Sp. nov. ined. cirsium,WY;,Asteraceae,Flowering Plants,Not Listed,6,P
Prosopium gemmifer,Bonneville Cisco,N/A,Salmonidae,Fishes,Not Listed,N/A,V
Coregonus nigripinnis nigripinnis,Blackfin cisco,"IL, IN, MI, WI; Believed to be extinct",Salmonidae,Fishes,Not Listed,3,V
Coregonus johannae,Deepwater cisco,"IL, IN, MI, MN, WI; Believed to be extinct",Salmonidae,Fishes,Not Listed,3,V
Coregonus alpenae,Longjaw cisco,"IL, IN, MI, NY, OH, PA, WI; Believed to be extinct",Salmonidae,Fishes,Extinction,"3, 5",V
Coregonus zenithicus,Shortjaw cisco,"IL, IN, MI, MN, WI;",Salmonidae,Fishes,Not Listed,3,V
Coregonus reighardi,Shortnose cisco,"IL, IN, MI, NY, WI;",Salmonidae,Fishes,Not Listed,"3, 5",V
Viverra civettina (=megaspila c.),Malabar large-spotted civet,Entire,Viverridae,Mammals,Endangered,N/A,V
Cladonia perforata,Florida perforate cladonia,FL; U.S.A. (FL),Cladoniaceae,Lichens,Endangered,4,P
Limnadia lenticularis,American clam shrimp,"FL, MA; Greenland,Northern Europe",Limnadiidae,Crustaceans,Not Listed,"4, 5",I
Eulimnadia stoningtonensis,Connecticut clam shrimp,CT;,Limnadiidae,Crustaceans,Not Listed,5,I
Eulimnadia agassizii,Faxon's clam shrimp,MA;,Limnadiidae,Crustaceans,Not Listed,5,I
Clarkia amoena pacifica,[Unnamed] clarkia,"OR, WA;",Onagraceae,Flowering Plants,Not Listed,1,P
Clarkia amoena whitneyi,[Unnamed] clarkia,CA;,Onagraceae,Flowering Plants,Not Listed,8,P
Clarkia borealis arida,Arid northern clarkia,CA;,Onagraceae,Flowering Plants,Not Listed,8,P
Clarkia rostrata,Beaked clarkia,CA;,Onagraceae,Flowering Plants,Not Listed,8,P
Clarkia tembloriensis ssp. calientensis,Caliente clarkia,CA;,Onagraceae,Flowering Plants,Not Listed,8,P
Clarkia concinna automixa,East Bay clarkia,CA;,Onagraceae,Flowering Plants,Not Listed,8,P
Clarkia mosquinii xerophila,Enterprise clarkia,CA;,Onagraceae,Flowering Plants,Not Listed,8,P
Clarkia biloba australis,Mariposa clarkia,CA;,Onagraceae,Flowering Plants,Not Listed,8,P
Clarkia lingulata,Merced clarkia,CA;,Onagraceae,Flowering Plants,Not Listed,8,P
Clarkia mosquinii mosquinii,Mosquin's clarkia,CA;,Onagraceae,Flowering Plants,Not Listed,8,P
Clarkia speciosa ssp. immaculata,Pismo clarkia,CA; U.S.A. (CA),Onagraceae,Flowering Plants,Endangered,8,P
Clarkia franciscana,Presidio clarkia,CA; U.S.A. (CA),Onagraceae,Flowering Plants,Endangered,8,P
Clarkia australis,Small's southern clarkia,CA;,Onagraceae,Flowering Plants,Not Listed,8,P
Clarkia springvillensis,Springville clarkia,CA; U.S.A. (CA),Onagraceae,Flowering Plants,Threatened,8,P
Clarkia concinna raichei,Tomales clarkia,CA;,Onagraceae,Flowering Plants,Not Listed,8,P
Clarkia imbricata,Vine Hill clarkia,CA; U.S.A. (CA),Onagraceae,Flowering Plants,Endangered,8,P
sibaropsis hammittii,Hammitt's clay-cress,N/A,brassicaceae,Flowering Plants,Not Listed,N/A,P
Claytonia megarhiza bellidiflora,Fell fields claytonia,"CA, OR;",Portulacaceae,Flowering Plants,Not Listed,"1, 8",P
Eopenthes ambiguus,Ambiguous eopenthes click beetle,HI;,Elateridae,Insects,Not Listed,1,I
Eopenthes arduus,Arduous eopenthes click beetle,HI;,Elateridae,Insects,Not Listed,1,I
Eopenthes cognatus,Cognatus eopenthes click beetle,HI;,Elateridae,Insects,Not Listed,1,I
Eopenthes plebeius,Common eopenthes click beetle,HI;,Elateridae,Insects,Not Listed,1,I
Eopenthes funebris,Death eopenthes click beetle,HI;,Elateridae,Insects,Not Listed,1,I
Eopenthes deceptor,Deceptive eopenthes click beetle,HI;,Elateridae,Insects,Not Listed,1,I
Eopenthes germanus,Germanus eopenthes click beetle,HI;,Elateridae,Insects,Not Listed,1,I
Eopenthes auratus,Golden eopenthes click beetle,HI;,Elateridae,Insects,Not Listed,1,I
Eanus hatchi,Hatch's click beetle,WA;,Elateridae,Insects,Not Listed,1,I
Eopenthes celatus,Hidden eopenthes click beetle,HI;,Elateridae,Insects,Not Listed,1,I
Eopenthes kauaiensis,Kauai eopenthes click beetle,HI;,Elateridae,Insects,Not Listed,1,I
Eopenthes muticus,Muticus eopenthes click beetle,HI;,Elateridae,Insects,Not Listed,1,I
Itodacnus novicornis,Necker itodacnus click beetle,HI;,Elateridae,Insects,Not Listed,1,I
Eopenthes pallipes,Pallipes eopenthes click beetle,HI;,Elateridae,Insects,Not Listed,1,I
Eopenthes politus,Politus eopenthes click beetle,HI;,Elateridae,Insects,Not Listed,1,I
Itodacnus paradoxus,Strange itodacnus click beetle,HI;,Elateridae,Insects,Not Listed,1,I
Eopenthes tarsalis,Tarsalis eopenthes click beetle,HI;,Elateridae,Insects,Not Listed,1,I
Eopenthes tinctus,Tinged eopenthes click beetle,HI;,Elateridae,Insects,Not Listed,1,I
Eopenthes unicolor,Unicolored eopenthes click beetle,HI;,Elateridae,Insects,Not Listed,1,I
Eopenthes debilis,Weak eopenthes click beetle,HI;,Elateridae,Insects,Not Listed,1,I
Purshia (=Cowania) subintegra,Arizona Cliffrose,AZ; U.S.A. (AZ),Rosaceae,Flowering Plants,Endangered,2,P
Trifolium barnebyi,[Unnamed] clover,WY;,Fabaceae,Flowering Plants,Not Listed,6,P
Trifolium calcaricum,[Unnamed] clover,VA;,Fabaceae,Flowering Plants,Not Listed,5,P
Trifolium leibergii,[Unnamed] clover,"NV, OR;",Fabaceae,Flowering Plants,Not Listed,"1, 8",P
Trifolium macilentum rollinsii,[Unnamed] clover,NV;,Fabaceae,Flowering Plants,Not Listed,8,P
Trifolium neurophyllum,[Unnamed] clover,"AZ, NM;",Fabaceae,Flowering Plants,Not Listed,2,P
Trifolium plumosum amplifolium,[Unnamed] clover,ID;,Fabaceae,Flowering Plants,Not Listed,1,P
Trifolium plumosum plumosum,[Unnamed] clover,"OR, WA;",Fabaceae,Flowering Plants,Not Listed,1,P
Trifolium andersonii beatleyae,Beatley's clover,"CA, NV;",Fabaceae,Flowering Plants,Not Listed,8,P
Trifolium dedeckerae,DeDecker's clover,CA;,Fabaceae,Flowering Plants,Not Listed,8,P
Trifolium friscanum,Frisco clover,"UT; ; Trifolium friscanum is a narrow endemic known from five small populations containing nine sites on private, SITLA, BLM, and USFS lands in Beaver and Millard Counties, Utah (Kass 1992c, pp. 4–5; Evenden 1998, pp. 6–7, Appendix C; Evenden 1999, pp. 2–3; Miller 2010c, pp. 1, 4; Miller 2010e, pers. comm.; Roth 2010a, p. 4).  Populations are defined as groups of sites located in the same geographic vicinity.  Sites are defined as occurrence records or locations recorded by one or more researcher over time within an individual population.  Despite additional searches in the San Francisco Mountains and surrounding areas (including the Wah Wah Mountains, the Confusion Range, the Mountain Home Range, and the Tunnel Springs Mountains), no other populations are known to occur (Kass 1992c, pp. 4–5; Evenden 1998, pp. 6–7, Appendix C; Evenden 1999, pp. 2–3; Miller 2010c, pp. 1, 4; Miller 2010e, pers. comm.; Roth 2010a, p. 4).

The five populations occur within three mountain ranges in southwestern Utah.  The two largest populations, the Grampian Hill and San Francisco Populations, occur on the southern tip on the San Francisco Mountains in Beaver County.  East of the San Francisco Mountains are the Beaver Lake Mountains, where the Lime Mountain Population occurs on Lime Mountain.  West and south of the San Francisco Mountains are the Wah Wah Mountains.  Along the southeastern edge of the Wah Wah Mountains is the southernmost population, the Blue Mountain population, which occurs along the Beaver–Iron County boundary line on Blue Mountain.  The Tunnel Springs Population occurs on Tunnel Springs Mountains in Millard County.  The Tunnel Springs Mountains are west and north of the Wah Wah Mountains.",Fabaceae,Flowering Plants,Candidate,6,P
Castilleja ambigua humboldtiensis,Humboldt Bay owl's clover,CA;,Scrophulariaceae,Flowering Plants,Not Listed,8,P
Trifolium virginicum,Kate's-mountain clover,"MD, PA, VA, WV;",Fabaceae,Flowering Plants,Not Listed,5,P
Trifolium lemmonii,Lemmon's clover,"CA, CO, NV;",Fabaceae,Flowering Plants,Not Listed,"6, 8",P
Trifolium trichocalyx,Monterey clover,CA; U.S.A. (CA),Fabaceae,Flowering Plants,Endangered,8,P
Trifolium owyheense,Owyhee clover,"ID, OR;",Fabaceae,Flowering Plants,Not Listed,1,P
Trifolium variegatum,Pacific Grove clover,CA;,Fabaceae,Flowering Plants,Not Listed,8,P
Trifolium bolanderi,Parasol clover,CA;,Fabaceae,Flowering Plants,Not Listed,8,P
Trifolium stoloniferum,Running buffalo clover,"AR, IN, KY, MO, OH, WV; ; U.S.A. (WV, OH, MO, KY, KS, IN, IL, AR)",Fabaceae,Flowering Plants,Endangered,"3, 4, 5",P
Trifolium amoenum,Showy Indian clover,CA; Known extant only in cultivation; U.S.A. (CA),Fabaceae,Flowering Plants,Endangered,8,P
Trifolium thompsonii,Thompson's clover,WA;,Fabaceae,Flowering Plants,Not Listed,1,P
Huperzia acerosa,[Unnamed] clubmoss,"PR, VI;",Lycopodiaceae,Ferns and Allies,Not Listed,4,P
Pleurobema clava,Clubshell,"IL, IN, KY, MI, NY, OH, PA, TN, WV; U.S.A. (WV, TN, PA, OH, MI, KY, IN, IL, AL)",Unionidae,Clams,Endangered,"3, 4, 5",I
Pleurobema clava,Clubshell,"AL; U.S.A. (WV, TN, PA, OH, MI, KY, IN, IL, AL)",Unionidae,Clams,"Experimental Population, Non-Essential",4,I
Pleurobema troschelianum,Alabama Clubshell,GA;,Unionidae,Clams,Not Listed,4,I
Pleurobema curtum,Black clubshell,"MS; Possibly extinct, habitat remains in MS, but populations have not been found in recent years; U.S.A. (MS, AL)",Unionidae,Clams,Endangered,4,I
Pleurobema perovatum,Ovate clubshell,"AL, MS, TN; U.S.A. (TN, MS, GA, AL)",Unionidae,Clams,Endangered,4,I
Pleurobema chattanoogaense,Painted clubshell,GA;,Unionidae,Clams,Not Listed,4,I
Pleurobema decisum,Southern clubshell,"AL, GA, MS; U.S.A. (TN, MS, GA, AL)",Unionidae,Clams,Endangered,4,I
Pleurobema oviforme,Tennessee clubshell,"KY, TN, VA;",Unionidae,Clams,Under Review in the Candidate or Petition Process,"4, 5",I
Stylurus townesi,Bronze clubtail,"AL, FL, NC, SC, TN;",Gomphidae,Insects,Not Listed,4,I
Gomphus consanguis,Cherokee clubtail,VA;,Gomphidae,Insects,Under Review in the Candidate or Petition Process,5,I
Stylurus notatus,Elusive clubtail,"AL, GA, IA, IL, IN, KY, MD, MI, MN, NY, OH, PA, TN, WI, WV;",Gomphidae,Insects,Not Listed,"3, 4, 5",I
Gomphus lynnae,Lynn's clubtail,WA;,Gomphidae,Insects,Not Listed,1,I
Gomphus parvidens carolinus,Sandhills clubtail,"NC, SC;",Gomphidae,Insects,Not Listed,4,I
Gomphus septima,Septima's clubtail,"AL, NC;",Gomphidae,Insects,Under Review in the Candidate or Petition Process,4,I
Gomphus sandrius,Tennessee clubtail,TN;,Gomphidae,Insects,Under Review in the Candidate or Petition Process,4,I
Progomphus bellei,Variegated clubtail,"AL, FL, NC;",Gomphidae,Insects,Not Listed,4,I
Gomphus westfalli,Westfall's clubtail,FL;,Gomphidae,Insects,Under Review in the Candidate or Petition Process,4,I
Stylurus potulentus,Yellow-sided clubtail,"FL, MS;",Gomphidae,Insects,Under Review in the Candidate or Petition Process,4,I
masticophis flagellum ssp. piceus,Red coachwhip,N/A,colubridae,Reptiles,Not Listed,N/A,V
Stahlia monosperma,Cobana negra,"PR; Puerto Rico and Dominican Republic; U.S.A. (PR), Dominican Republic",Fabaceae,Flowering Plants,Threatened,4,P
Phocoena sinus,Cochito,Entire; Mexico (Gulf of California),Phocoenidae,Mammals,Endangered,N/A,V
Cacatua haematuropygia,Philippine cockatoo,N/A,Psittacidae,Birds,Endangered,N/A,V
Cacatua moluccensis,Salmon-crested cockatoo,"Seram, Haruku, Saparua, and Ambon, Indonesia",Cacatuidae,Birds,Threatened,N/A,V
Cacatua alba,White cockatoo,N/A,Psittacidae,Birds,Threatened,N/A,V
Cacatua sulphurea,Yellow-crested cockatoo,N/A,Psittacidae,Birds,Endangered,N/A,V
Latimeria chalumnae,African coelacanth,Tanzanian DPS,Coelacanthidae,Fishes,Threatened,N/A,V
Coenonycha clementina,San Clemente Island coenonycha beetle,CA;,Scarabaeidae,Insects,Not Listed,8,I
Helicodiscus diadema,Shaggy coil,VA;,Helicodiscidae,Snails,Not Listed,5,I
Helicodiscus hexodon,Toothy coil,TN;,Helicodiscidae,Snails,Not Listed,4,I
collinsia multicolor,San Francisco collinsia,N/A,scrophulariaceae,Flowering Plants,Not Listed,N/A,P
Collomia macrocalyx,Bristle-flowered collomia,OR;,Polemoniaceae,Flowering Plants,Not Listed,1,P
Collomia mazama,Crater Lake collomia,OR;,Polemoniaceae,Flowering Plants,Not Listed,1,P
Collomia debilis var. larsenii,Talus collomia,"CA, OR, WA;",Polemoniaceae,Flowering Plants,Not Listed,"1, 8",P
Colubrina californica,Las Animas colubrina,"AZ, CA;",Rhamnaceae,Flowering Plants,Not Listed,"2, 8",P
Aquilegia grahamii,Graham's Columbine,N/A,Ranunculaceae,Flowering Plants,Not Listed,N/A,P
Aquilegia chrysantha chaplinei,[Unnamed] columbine,"NM, TX;",Ranunculaceae,Flowering Plants,Not Listed,2,P
Aquilegia chrysantha rydbergii,[Unnamed] columbine,"AZ, CO, NM;",Ranunculaceae,Flowering Plants,Not Listed,"2, 6",P
Aquilegia canadensis australis,"Canadian, columbine",FL;,Ranunculaceae,Flowering Plants,Not Listed,4,P
Aquilegia chrysantha hinckleyana,Hinckley's columbine,TX;,Ranunculaceae,Flowering Plants,Not Listed,2,P
Aquilegia jonesii,Jones' columbine,"MT, WY;",Ranunculaceae,Flowering Plants,Not Listed,6,P
Aquilegia laramiensis,Laramie columbine,WY;,Ranunculaceae,Flowering Plants,Not Listed,6,P
Aquilegia longissima,Long spur columbine,TX;,Ranunculaceae,Flowering Plants,Not Listed,2,P
Aquilegia micrantha mancosana,Mancos columbine,CO;,Ranunculaceae,Flowering Plants,Not Listed,6,P
Polyctenium williamsiae,Combleaf,NV;,Brassicaceae,Flowering Plants,Not Listed,8,P
Epioblasma brevidens,Cumberlandian combshell,"AL, KY, MS, TN, VA; U.S.A. (VA, TN, MS, KY, AL)",Unionidae,Clams,Endangered,"4, 5",I
Epioblasma brevidens,Cumberlandian combshell,"AL; U.S.A. (VA, TN, MS, KY, AL)",Unionidae,Clams,"Experimental Population, Non-Essential",4,I
Epioblasma brevidens,Cumberlandian combshell,"U.S.A. (VA, TN, MS, KY, AL)",Unionidae,Clams,"Experimental Population, Non-Essential",N/A,I
Epioblasma personata,Round combshell,"AL, TN; Believed to be extinct",Unionidae,Clams,Not Listed,4,I
Epioblasma penita,Southern combshell,"AL, MS; U.S.A. (MS, AL)",Unionidae,Clams,Endangered,4,I
Epioblasma metastriata,Upland combshell,"AL, TN; Possibly extinct, no populations have been confirmed in recent years; U.S.A. (TN, GA, AL)",Unionidae,Clams,Endangered,4,I
Vultur gryphus,Andean condor,Colombia to Chile and Argentina,Cathartidae,Birds,Endangered,N/A,V
Gymnogyps californianus,California condor,"AZ, CA, UT; U.S.A. (OR, CA, AZ), Mexico (Baja California)",Cathartidae,Birds,Endangered,"2, 6, 8",V
Gymnogyps californianus,California condor,"AZ, UT; U.S.A. (OR, CA, AZ), Mexico (Baja California)",Cathartidae,Birds,"Experimental Population, Non-Essential","2, 6",V
Rudbeckia scabrifolia,Bog coneflower,"LA, TX;",Asteraceae,Flowering Plants,Not Listed,"2, 4",P
Rudbeckia auriculata,Eared coneflower,AL;,Asteraceae,Flowering Plants,Under Review in the Candidate or Petition Process,4,P
Echinacea laevigata,Smooth coneflower,"GA, NC, SC, VA; U.S.A. (VA, SC, PA, NC, MD, GA)",Asteraceae,Flowering Plants,Endangered,"4, 5",P
Rudbeckia heliopsidis,Sunfacing coneflower,"SC, VA;",Asteraceae,Flowering Plants,Under Review in the Candidate or Petition Process,"4, 5",P
Echinacea tennesseensis,Tennessee purple coneflower,TN;,Asteraceae,Flowering Plants,Recovery,4,P
Rudbeckia nitida nitida,Yellow coneflower,FL;,Asteraceae,Flowering Plants,Not Listed,4,P
Zamia integrifolia pigmaea,Florida coontie,"FL, GA;",Cycadaceae,Conifers and Cycads,Not Listed,4,P
Fulica caribaea,Caribbean coot,"PR, VI; West Indies",Rallidae,Birds,Not Listed,4,V
Fulica americana alai,Hawaiian coot,HI; U.S.A. (HI),Rallidae,Birds,Endangered,1,V
Pseudemys rubriventris,Northern Red-bellied cooter,"DC, DE, MA, MD, NC, NJ, NY, PA, VA;",Emydidae,Reptiles,Under Review in the Candidate or Petition Process,"4, 5",V
Pseudemys concinna suwaniensis,Suwanee cooter,FL;,Emydidae,Reptiles,Not Listed,4,V
Acanthocyclops columbiensis,Copepod,N/A,Copepoda,Crustaceans,Not Listed,N/A,I
Lycaena dorcas claytoni,Clayton's copper,ME;,Lycaenidae,Insects,Not Listed,5,I
Lycaena rubicus ssp.,White Mountains copper,"CA, NV;",Lycaenidae,Insects,Not Listed,8,I
Eleutherodactylus jasperi,Golden coqui,PR; Endemic to Puerto Rico; U.S.A. (PR),Leptodactylidae,Amphibians,Threatened,4,V
Eleutherodactylus juanariveroi,Llanero Coqui,PR; U.S.A. (PR),Leptodactylidae,Amphibians,Endangered,4,V
Eleutherodactylus eneidae,Mottled coqui,"PR, VI;",Leptodactylidae,Amphibians,Not Listed,4,V
Eleutherodactylus schwartzi,Virgin Islands coqui,Virgin islands,Leptodactylidae,Amphibians,Not Listed,N/A,V
Eleutherodactylus karlschmidti,Web-footed coqui,"PR, VI;",Leptodactylidae,Amphibians,Not Listed,4,V
Orbicella franksi,Boulder star coral,N/A,Merulinidae,Corals,Threatened,N/A,I
Acropora palmata,Elkhorn coral,"FL; U.S.A. (FL, PR, VI, Navassa); and wider Caribbean-Belize, Colombia, Costa Rica, Guatemala, Honduras, Mexico, Nicaragua, Panama, Venezuela, and all the islands of the West Indies",Acroporidae,Corals,Threatened,4,I
Orbicella annularis,Lobed Star Coral,"Caribbean, Bahamas, and Flower Garden Banks",Faviidae,Corals,Threatened,N/A,I
Orbicella faveolata,Mountainous Star Coral,N/A,Faviidae,Corals,Threatened,N/A,I
Dendrogyra cylindricus,Pillar Coral,N/A,Meandrinidae,Corals,Threatened,N/A,I
Mycetophyllia ferox,Rough Cactus Coral,N/A,Mussidae,Corals,Threatened,N/A,I
Acropora cervicornis,Staghorn coral,"FL; U.S.A. (FL, PR, VI, Navassa); and wider Caribbean-Belize, Colombia, Costa Rica, Guatemala, Honduras, Mexico, Nicaragua, Panama, Venezuela, and all the islands of the West Indies",Acroporidae,Corals,Threatened,4,I
Montastraea franksi,Star coral,N/A,Faviidae,Corals,Not Listed,N/A,I
Hexalectris revoluta,Chisos coral-root,TX;,Orchidaceae,Flowering Plants,Under Review in the Candidate or Petition Process,2,P
Hexalectris nitida,Glass Mountain coral-root,"NM, TX;",Orchidaceae,Flowering Plants,Not Listed,2,P
Hexalectris colemanii,Colemans coralroot,AZ;,Orchidaceae,Flowering Plants,Not Listed,2,P
Coreopsis hamiltonii,Mt. Hamilton coreopsis,CA;,Asteraceae,Flowering Plants,Not Listed,8,P
Leitneria floridana,Corkwood,FL;,Leitneriaceae,Flowering Plants,Not Listed,4,P
phalacrocorax auritus,Double-crested cormorant,N/A,phalacrocoracidae,Birds,Not Listed,N/A,V
Valerianella texana,Edwards' Plateau cornsalad,TX;,Valerianaceae,Flowering Plants,Not Listed,2,P
Coryphantha scheeri uncinata,[Unnamed] cory cactus,TX;,Cactaceae,Flowering Plants,Not Listed,2,P
Escobaria missouriensis var. marstonii,[Unnamed] cory cactus,"AZ, UT;",Cactaceae,Flowering Plants,Not Listed,"2, 6",P
Escobaria vivipara var. buoflama,[Unnamed] cory cactus,AZ;,Cactaceae,Flowering Plants,Not Listed,2,P
